arquivo,tipo,classe,nome,rank_cc,complexity,linha_ini,linha_fim
cleanlab/count.py,function,,estimate_py_and_noise_matrices_from_probabilities,A,3,799,885
cleanlab/count.py,function,,_converge_estimates,A,3,1331,1404
cleanlab/data_valuation.py,function,,_knn_shapley_score,A,3,14,50
cleanlab/filter.py,function,,find_predicted_neq_given,A,3,638,669
cleanlab/multiannotator.py,function,,_get_single_annotator_agreement,A,3,1352,1391
cleanlab/multiannotator.py,function,,_get_consensus_quality_score,A,3,1641,1697
cleanlab/multiannotator.py,function,,_get_single_annotator_worst_class,A,3,1874,1923
cleanlab/outlier.py,method,OutOfDistribution,_get_params,A,3,279,281
cleanlab/outlier.py,method,OutOfDistribution,_assert_valid_params,A,3,284,290
cleanlab/rank.py,function,,find_top_issues,A,3,369,395
cleanlab/datalab/datalab.py,method,Datalab,report,A,3,355,408
cleanlab/datalab/datalab.py,method,Datalab,get_issues,A,3,482,514
cleanlab/datalab/internal/data.py,function,,_is_valid_label_column,A,3,393,411
cleanlab/datalab/internal/data.py,method,Data,_validate_data,A,3,194,198
cleanlab/datalab/internal/data_issues.py,method,_InfoStrategy,_get_info_helper,A,3,74,85
cleanlab/datalab/internal/display.py,method,ClassificationRepresentation,represent,A,3,69,80
cleanlab/datalab/internal/display.py,method,RegressionRepresentation,represent,A,3,84,94
cleanlab/datalab/internal/display.py,method,MultilabelRepresentation,represent,A,3,98,109
cleanlab/datalab/internal/issue_finder.py,method,IssueFinder,_check_missing_args,A,3,370,378
cleanlab/datalab/internal/model_outputs.py,method,MultiLabelPredProbs,validate,A,3,101,112
cleanlab/datalab/internal/serialize.py,method,_Serializer,serialize,A,3,55,85
cleanlab/datalab/internal/spurious_correlation.py,method,SpuriousCorrelations,calculate_correlations,A,3,33,46
cleanlab/datalab/internal/task.py,method,Task,from_str,A,3,45,76
cleanlab/datalab/internal/adapter/imagelab.py,function,,handle_spurious_correlations,A,3,414,429
cleanlab/datalab/internal/adapter/imagelab.py,method,ImagelabDataIssuesAdapter,collect_issues_from_imagelab,A,3,114,143
